movie_id,title,genres,year,clean_title,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,Toy Story (1995),Animation|Children's|Comedy,1995,Toy Story,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Jumanji (1995),Adventure|Children's|Fantasy,1995,Jumanji,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Grumpier Old Men (1995),Comedy|Romance,1995,Grumpier Old Men,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Waiting to Exhale (1995),Comedy|Drama,1995,Waiting to Exhale,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,Father of the Bride Part II (1995),Comedy,1995,Father of the Bride Part II,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Heat (1995),Action|Crime|Thriller,1995,Heat,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,Sabrina (1995),Comedy|Romance,1995,Sabrina,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Tom and Huck (1995),Adventure|Children's,1995,Tom and Huck,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sudden Death (1995),Action,1995,Sudden Death,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,GoldenEye (1995),Action|Adventure|Thriller,1995,GoldenEye,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,"American President, The (1995)",Comedy|Drama|Romance,1995,"American President, The",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
11,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,Dracula: Dead and Loving It,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Balto (1995),Animation|Children's,1995,Balto,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Nixon (1995),Drama,1995,Nixon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Cutthroat Island (1995),Action|Adventure|Romance,1995,Cutthroat Island,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Casino (1995),Drama|Thriller,1995,Casino,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16,Sense and Sensibility (1995),Drama|Romance,1995,Sense and Sensibility,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,Four Rooms (1995),Thriller,1995,Four Rooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,Ace Ventura: When Nature Calls (1995),Comedy,1995,Ace Ventura: When Nature Calls,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Money Train (1995),Action,1995,Money Train,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Get Shorty (1995),Action|Comedy|Drama,1995,Get Shorty,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Copycat (1995),Crime|Drama|Thriller,1995,Copycat,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
22,Assassins (1995),Thriller,1995,Assassins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,Powder (1995),Drama|Sci-Fi,1995,Powder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,Leaving Las Vegas (1995),Drama|Romance,1995,Leaving Las Vegas,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
25,Othello (1995),Drama,1995,Othello,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Now and Then (1995),Drama,1995,Now and Then,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,Persuasion (1995),Romance,1995,Persuasion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
